arm,label,scheme,bin,n,mean_predicted,observed_rate,gap
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,3,429,0.017363200087274724,0.02097902097902098,0.0036158208917462555
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,4,428,0.019061970453944595,0.014018691588785047,-0.005043278865159548
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,5,429,0.02249156328371803,0.011655011655011656,-0.010836551628706375
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,6,428,0.02611225178203236,0.02102803738317757,-0.00508421439885479
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,7,429,0.029691353573399838,0.027972027972027972,-0.0017193256013718662
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,8,428,0.03472508767999683,0.035046728971962614,0.0003216412919657824
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,9,429,0.04026727502939474,0.030303030303030304,-0.009964244726364438
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,10,428,0.04419085019929664,0.0397196261682243,-0.004471224031072342
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,11,429,0.050573079250333455,0.039627039627039624,-0.010946039623293831
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,12,428,0.06609643563157215,0.07242990654205607,0.006333470910483918
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,13,429,0.07828383146244733,0.10722610722610723,0.028942275763659903
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,14,429,0.13595825644847861,0.1864801864801865,0.05052193003170788
R3b_acqctx_window,deterioration_mortality_365d,equal_width,0,1640,0.041672131357836546,0.04085365853658537,-0.0008184728212511788
R3b_acqctx_window,deterioration_mortality_365d,equal_width,1,1809,0.10117856127440794,0.09397457158651189,-0.0072039896878960535
R3b_acqctx_window,deterioration_mortality_365d,equal_width,2,1687,0.16234543207798807,0.16360403082394784,0.0012585987459597658
R3b_acqctx_window,deterioration_mortality_365d,equal_width,3,673,0.23013425088695774,0.2585438335809807,0.028409582694022967
R3b_acqctx_window,deterioration_mortality_365d,equal_width,4,431,0.29658536835933047,0.35266821345707655,0.05608284509774608
R3b_acqctx_window,deterioration_mortality_365d,equal_width,5,159,0.3625064048933712,0.4088050314465409,0.046298626553169686
R3b_acqctx_window,deterioration_mortality_365d,equal_width,6,27,0.4227741319698992,0.4074074074074074,-0.01536672456249183
R3b_acqctx_window,deterioration_mortality_365d,equal_width,7,2,0.4745027328218099,0.5,0.02549726717819012
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,0,428,0.021522472028345212,0.014018691588785047,-0.007503780439560166
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,1,429,0.03896355688994707,0.03263403263403263,-0.0063295242559144385
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,2,428,0.04961533382908854,0.0514018691588785,0.001786535329789965
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,3,429,0.06111155338525989,0.06526806526806526,0.004156511882805372
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,4,428,0.07694359925652322,0.06542056074766354,-0.011523038508859676
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,5,429,0.09382013041559119,0.07692307692307693,-0.01689705349251426
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,6,428,0.11087390354775273,0.1308411214953271,0.01996721794757436
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,7,429,0.12720046195206672,0.11188811188811189,-0.01531235006395483
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,8,428,0.1371732954379743,0.1378504672897196,0.0006771718517453174
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,9,429,0.15071596527811895,0.13986013986013987,-0.010855825417979081
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,10,428,0.17086446819161763,0.15654205607476634,-0.014322412116851285
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,11,429,0.18967746993278747,0.21445221445221446,0.02477474451942699
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,12,428,0.21839492205906164,0.2757009345794392,0.05730601252037759
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,13,429,0.2640038549423964,0.27505827505827507,0.01105442011587865
R3b_acqctx_window,deterioration_mortality_365d,equal_mass,14,429,0.33748151797897735,0.38927738927738925,0.0517958712984119
R4_demo_acq,deterioration_icu_24h,equal_width,0,3072,0.029589284943114733,0.029947916666666668,0.00035863172355193526
R4_demo_acq,deterioration_icu_24h,equal_width,1,1471,0.09684100623793741,0.11012916383412645,0.013288157596189037
