table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T3,R3_acqctx_pre|deterioration_icu_24h,meets,yes,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,meets_target,,not_applicable
T3,R3_acqctx_pre|deterioration_icu_24h,primary,exploratory,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,is_primary,,not_applicable
T3,R3_acqctx_pre|deterioration_mortality_28d,ratio,0.7448,0.7448411647315732,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,estimate,,record
T3,R3_acqctx_pre|deterioration_mortality_28d,ratio,0.6515,0.6514658658043114,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,ci_lo,,record
T3,R3_acqctx_pre|deterioration_mortality_28d,ratio,0.8382,0.8382008343359183,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,ci_hi,,record
T3,R3_acqctx_pre|deterioration_mortality_28d,numerator,0.7587,0.7586963387905765,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,numerator_auroc,,record
T3,R3_acqctx_pre|deterioration_mortality_28d,denominator,0.8473,0.847317456445638,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,denominator_auroc,,record
T3,R3_acqctx_pre|deterioration_mortality_28d,meets,yes,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,meets_target,,not_applicable
T3,R3_acqctx_pre|deterioration_mortality_28d,primary,exploratory,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_28d;quantity=recovery_ratio,is_primary,,not_applicable
T3,R3_acqctx_pre|deterioration_mortality_365d,ratio,0.6803,0.6803021685332998,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;quantity=recovery_ratio,estimate,,record
